0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,action
1.0,183.32204,12.0,25.0,0.0,1.0,193.85251,4.0,23.13605,0.0,1.0,204.2389,0.0,21.941452,0.0,1.0,215.2744,4.0,23.315792,0.0,1.0,225.06639,4.0,21.577244,0.0,1.0,235.82584,8.0,21.856415,0.0,1.0,245.52437,0.0,23.074059,0.0,1.0,255.01408,12.0,21.696709,0.0,1.0,265.2517,0.0,21.571228,0.0,1.0,275.8425,0.0,22.975735,0.0,0
1.0,180.34122,4.0,25.0,0.0,1.0,190.62308,0.0,21.319845,0.0,1.0,201.35704,8.0,22.096664,0.0,1.0,210.86389,8.0,22.292944,0.0,1.0,221.79793,8.0,21.174183,0.0,1.0,232.16162,0.0,23.149084,0.0,1.0,242.28052,12.0,21.852041,0.0,1.0,252.27187,12.0,21.689018,0.0,1.0,262.84204,4.0,22.245596,0.0,1.0,273.05795,0.0,22.060118,0.0,0
1.0,180.29604,4.0,25.0,0.0,1.0,189.93503,12.0,21.918684,0.0,1.0,201.19308,12.0,23.07037,0.0,1.0,212.69608,12.0,23.735464,0.0,1.0,223.69856,0.0,21.867125,0.0,1.0,233.43655,0.0,21.205416,0.0,1.0,243.75609,4.0,21.74927,0.0,1.0,254.48305,12.0,22.29823,0.0,1.0,265.88074,8.0,22.47566,0.0,1.0,277.24353,0.0,23.641459,0.0,0
1.0,176.42084,12.0,25.0,0.0,1.0,187.11394,12.0,21.542355,0.0,1.0,197.35109,8.0,21.558619,0.0,1.0,207.58707,12.0,21.679796,0.0,1.0,216.71234,12.0,21.000181,0.0,1.0,226.8479,12.0,21.18519,0.0,1.0,237.43149,12.0,21.207872,0.0,1.0,247.73895,8.0,23.36178,0.0,1.0,259.3156,12.0,23.74771,0.0,1.0,270.97015,12.0,23.994995,0.0,0
1.0,181.01688,8.0,25.0,0.0,1.0,192.52887,0.0,23.850153,0.0,1.0,201.88925,12.0,22.14139,0.0,1.0,212.50595,12.0,23.241636,0.0,1.0,223.18835,0.0,22.430717,0.0,1.0,233.92023,8.0,21.963444,0.0,1.0,245.45352,0.0,23.335384,0.0,1.0,256.2211,12.0,22.810768,0.0,1.0,267.62097,12.0,22.732424,0.0,1.0,277.8224,4.0,23.923244,0.0,0
1.0,177.57574,12.0,25.0,0.0,1.0,188.0837,4.0,23.433363,0.0,1.0,199.02795,8.0,22.900963,0.0,1.0,209.99794,12.0,22.928782,0.0,1.0,220.10713,0.0,22.28899,0.0,1.0,231.03871,12.0,21.037657,0.0,1.0,240.49779,0.0,22.273361,0.0,1.0,250.86043,0.0,23.416565,0.0,1.0,261.23788,8.0,22.53859,0.0,1.0,271.16287,0.0,21.144053,0.0,0
1.0,183.17854,8.0,25.0,0.0,1.0,192.80255,12.0,21.989128,0.0,1.0,202.7269,8.0,21.983025,0.0,1.0,212.61073,4.0,21.820692,0.0,1.0,223.84845,12.0,22.624063,0.0,1.0,234.12674,0.0,21.21821,0.0,1.0,244.37753,4.0,21.54017,0.0,1.0,254.42534,0.0,23.523188,0.0,1.0,265.57126,8.0,22.606705,0.0,1.0,274.96872,0.0,21.407923,0.0,0
1.0,180.55441,4.0,25.0,0.0,1.0,191.38664,8.0,23.179241,0.0,1.0,202.15846,4.0,22.189856,0.0,1.0,212.81834,0.0,21.25608,0.0,1.0,222.49469,0.0,21.228638,0.0,1.0,231.70068,4.0,21.41187,0.0,1.0,241.61623,8.0,22.985243,0.0,1.0,252.87473,0.0,22.385778,0.0,1.0,263.38193,8.0,21.093662,0.0,1.0,273.7279,4.0,21.08395,0.0,0
1.0,177.36331,12.0,25.0,0.0,1.0,188.77357,8.0,22.51298,0.0,1.0,200.72394,12.0,23.91792,0.0,1.0,211.34196,12.0,21.33576,0.0,1.0,221.91777,12.0,22.607033,0.0,1.0,231.97202,8.0,22.447353,0.0,1.0,242.56439,8.0,23.921663,0.0,1.0,252.66028,8.0,23.071861,0.0,1.0,262.45566,4.0,21.86598,0.0,1.0,274.11636,12.0,23.093351,0.0,0
1.0,178.76526,4.0,25.0,0.0,1.0,190.17598,12.0,23.315262,0.0,1.0,200.73254,0.0,21.293911,0.0,1.0,211.87885,0.0,22.912376,0.0,1.0,222.66005,4.0,21.184242,0.0,1.0,233.53423,4.0,22.827024,0.0,1.0,245.28204,8.0,23.674927,0.0,1.0,255.49742,8.0,22.070656,0.0,1.0,264.66162,4.0,21.55441,0.0,1.0,274.90903,0.0,21.332806,0.0,0
