vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,action
1.0,3.0,4.0,61.76267999999999,11.004729999999995,21.79464999999999,-1.6911869999999993,-3.9997630000000015,-1.2286639999999984,1.0
2.0,1.0,1.0,31.405969999999996,52.71648999999999,84.88040000000001,-2.216422999999999,-3.149021000000001,-3.4738450000000007,4.0
4.0,0.0,4.0,10.718050000000005,10000.0,21.06313,-3.6561829999999986,10000.0,-1.0320029999999996,4.0
2.0,1.0,0.0,10.474819999999994,31.08162999999999,10000.0,-1.9706229999999998,-3.944008,10000.0,4.0
3.0,0.0,1.0,11.607120000000009,10000.0,96.90985,-1.9533729999999991,10000.0,-1.5709480000000013,4.0
0.0,4.0,0.0,10000.0,9.992829999999998,10000.0,10000.0,-3.3779499999999985,10000.0,1.0
2.0,0.0,4.0,9.84169,10000.0,19.75900999999999,-3.4116339999999994,10000.0,-3.956555999999999,4.0
0.0,3.0,0.0,10000.0,45.08148,10000.0,10000.0,-3.247914999999999,10000.0,1.0
3.0,2.0,3.0,42.71913000000001,21.33089000000001,32.78527,-1.271141,-2.055294,-1.6195410000000017,4.0
4.0,2.0,2.0,10.917540000000002,30.53201999999999,20.91660999999999,-1.1493719999999996,-1.9604420000000005,-3.0837569999999985,4.0
2.0,3.0,4.0,10.129019999999997,41.91739999999999,21.59190000000001,-1.4286269999999988,-2.559892999999999,-1.0268000000000015,4.0
1.0,0.0,3.0,52.59715,10000.0,9.501139999999992,-1.0957100000000004,10000.0,-2.2984180000000016,1.0
1.0,0.0,1.0,84.82829000000004,10000.0,95.84566000000001,-2.326343999999999,10000.0,-3.566153,1.0
2.0,3.0,0.0,53.096630000000005,30.77594000000002,10000.0,-2.6005439999999993,-2.1712820000000015,10000.0,4.0
2.0,2.0,3.0,32.286400000000015,22.240070000000003,42.40704000000002,-3.1209349999999993,-1.8571190000000009,-3.768618,1.0
1.0,4.0,2.0,85.27357,10.032499999999999,42.23066,-3.6547470000000004,-3.808674,-2.5788149999999987,1.0
1.0,0.0,3.0,40.89243999999999,10000.0,20.893879999999996,-3.4484519999999996,10000.0,-3.2381530000000005,1.0
3.0,4.0,0.0,9.825089999999989,19.830119999999994,10000.0,-3.999378,-1.090872000000001,10000.0,4.0
2.0,3.0,2.0,9.351910000000004,49.58333999999999,30.597039999999993,-3.9659140000000015,-3.0596829999999997,-2.4833849999999984,4.0
1.0,0.0,4.0,53.787859999999995,10000.0,9.704110000000014,-3.9182720000000018,10000.0,-2.344213,1.0
1.0,0.0,1.0,41.51764,10000.0,73.76329000000001,-3.5527690000000014,10000.0,-1.4653360000000006,4.0
1.0,0.0,3.0,71.78066000000001,10000.0,10.231519999999989,-1.4608230000000013,10000.0,-1.251926000000001,1.0
4.0,1.0,1.0,10.455369999999988,70.08496,80.18270999999999,-3.9886589999999984,-3.032084000000001,-2.307499,4.0
3.0,2.0,0.0,41.46971000000002,52.68127000000001,10000.0,-3.4620500000000014,-1.4904350000000015,10000.0,4.0
2.0,1.0,3.0,18.817570000000018,9.065159999999992,40.23716999999999,-3.6547400000000003,-3.8565830000000005,-1.5942630000000015,2.0
1.0,3.0,0.0,81.94791999999998,41.21725000000001,10000.0,-1.953596000000001,-1.2820110000000007,10000.0,1.0
1.0,0.0,3.0,22.595249999999993,10000.0,33.35320999999999,-3.410826,10000.0,-2.5057599999999987,4.0
3.0,1.0,4.0,32.59028000000001,83.02095,10.387619999999998,-2.1238729999999997,-3.778658,-2.373539000000001,4.0
3.0,1.0,0.0,39.82811000000001,9.423720000000003,10000.0,-3.645530000000001,-3.151088999999999,10000.0,4.0
3.0,1.0,0.0,50.551679999999976,19.11732999999998,10000.0,-1.5757119999999993,-3.6426049999999996,10000.0,1.0
3.0,3.0,0.0,9.583339999999993,29.396240000000006,10000.0,-3.7528630000000014,-2.280054,10000.0,0.0
2.0,1.0,2.0,30.762190000000004,72.36106000000001,10.11278999999999,-2.246447,-3.8431640000000016,-2.4994559999999986,4.0
1.0,3.0,0.0,62.21539000000001,52.366749999999996,10000.0,-1.0351999999999997,-3.958748,10000.0,1.0
3.0,3.0,2.0,31.98648,11.107579999999984,52.53828999999999,-1.6132409999999986,-2.6677670000000013,-1.0018160000000016,1.0
2.0,2.0,0.0,20.789109999999994,86.2361,10000.0,-2.2383960000000016,-3.251106,10000.0,4.0
2.0,0.0,2.0,20.807389999999998,10000.0,43.37915000000001,-2.9572399999999988,10000.0,-3.8234540000000017,4.0
3.0,2.0,0.0,9.921660000000003,19.452560000000005,10000.0,-1.4100879999999982,-2.615594999999999,10000.0,0.0
0.0,2.0,6.0,10000.0,50.80645000000001,10.880719999999997,10000.0,-2.3334940000000017,-3.1211990000000007,1.0
2.0,1.0,2.0,71.83984000000001,10.46141,30.097380000000015,-3.766736999999999,-3.614777,-3.58709,1.0
