vehicles_in_ego_lane,vehicles_in_left_lane,vehicles_in_right_lane,closest_in_ego_lane_dist,closest_left_lane_dist,closest_right_lane_dist,relative_velocity_ego_lane,relative_velocity_left_lane,relative_velocity_right_lane,previous_action_1,previous_action_2,action
4,0,4,10.71805,0,21.06313,-3.656183,0,-1.032003,4,1,4
2,1,0,10.47482,31.08163,0,-1.970623,-3.944008,0,4,4,4
3,0,1,11.60712,0,96.90985,-1.953373,0,-1.570948,4,4,4
0,4,0,10000,9.99283,0,10000,-3.37795,0,4,4,1
2,0,4,9.84169,0,19.75901,-3.411634,0,-3.956556,1,4,4
0,3,0,10000,45.08148,0,10000,-3.247915,0,4,1,1
3,2,3,42.71913,21.33089,32.78527,-1.271141,-2.055294,-1.619541,1,4,4
4,2,2,10.91754,30.53202,20.91661,-1.149372,-1.960442,-3.083757,4,1,4
2,3,4,10.12902,41.9174,21.5919,-1.428627,-2.559893,-1.0268,4,4,4
1,0,3,52.59715,0,9.50113999999999,-1.09571,0,-2.298418,4,4,1
1,0,1,84.82829,0,95.84566,-2.326344,0,-3.566153,1,4,1
2,3,0,53.09663,30.77594,0,-2.600544,-2.171282,0,1,1,4
2,2,3,32.2864,22.24007,42.40704,-3.120935,-1.857119,-3.768618,4,1,1
1,4,2,85.27357,10.0325,42.23066,-3.654747,-3.808674,-2.578815,1,4,1
1,0,3,40.89244,0,20.89388,-3.448452,0,-3.238153,1,1,1
3,4,0,9.82508999999999,19.83012,0,-3.999378,-1.090872,0,1,1,4
2,3,2,9.35191,49.58334,30.59704,-3.965914,-3.059683,-2.483385,4,1,4
1,0,4,53.78786,0,9.70411000000001,-3.918272,0,-2.344213,4,4,1
1,0,1,41.51764,0,73.76329,-3.552769,0,-1.465336,1,4,4
1,0,3,71.78066,0,10.23152,-1.460823,0,-1.251926,4,1,1
4,1,1,10.45537,70.08496,80.18271,-3.988659,-3.032084,-2.307499,1,4,4
3,2,0,41.46971,52.68127,0,-3.46205,-1.490435,0,4,1,4
2,1,3,18.81757,9.06515999999999,40.23717,-3.65474,-3.856583,-1.594263,4,4,2
1,3,0,81.94792,41.21725,0,-1.953596,-1.282011,0,2,4,1
1,0,3,22.59525,0,33.35321,-3.410826,0,-2.50576,1,2,4
3,1,4,32.59028,83.02095,10.38762,-2.123873,-3.778658,-2.373539,4,1,4
3,1,0,39.82811,9.42372,0,-3.64553,-3.151089,0,4,4,4
3,1,0,50.55168,19.11733,0,-1.575712,-3.642605,0,4,4,1
3,3,0,9.58333999999999,29.39624,0,-3.752863,-2.280054,0,1,4,0
2,1,2,30.76219,72.36106,10.11279,-2.246447,-3.843164,-2.499456,0,1,4
1,3,0,62.21539,52.36675,0,-1.0352,-3.958748,0,4,0,1
3,3,2,31.98648,11.10758,52.53829,-1.613241,-2.667767,-1.001816,1,4,1
2,2,0,20.78911,86.2361,0,-2.238396,-3.251106,0,1,1,4
2,0,2,20.80739,0,43.37915,-2.95724,0,-3.823454,4,1,4
3,2,0,9.92166,19.45256,0,-1.410088,-2.615595,0,4,4,0
0,2,6,10000,50.80645,10.88072,10000,-2.333494,-3.121199,0,4,1
2,1,2,71.83984,10.46141,30.09738,-3.766737,-3.614777,-3.58709,1,0,1
1,2,0,73.54528,42.48335,0,-3.73721,-2.484858,0,1,1,1
4,2,0,9.52139,20.14175,0,-2.31246,-1.63655,0,1,1,4
2,0,3,20.96758,0,51.98688,-1.719332,0,-2.670877,4,1,2
3,0,2,10.69334,0,42.47279,-1.089611,0,-3.319078,2,4,4
1,0,3,72.73257,0,9.40841,-2.32441,0,-2.761328,4,2,1
2,0,3,31.8828,0,53.24896,-1.271832,0,-3.45538,1,4,4
2,2,3,32.18756,83.28443,10.70799,-3.153866,-1.849197,-3.561785,4,1,4
1,5,0,42.58577,22.2607,0,-3.32636,-1.42399,0,4,4,1
2,2,2,54.19942,11.70456,43.69974,-3.97703,-1.717142,-3.077711,1,4,1
2,0,1,33.30665,0,10.60533,-1.566261,0,-1.93572,1,1,1
0,5,3,10000,43.00229,10.92415,10000,-1.19099,-2.643755,1,1,1
0,1,4,10000,85.62341,10.34451,10000,-3.572954,-1.789824,1,1,1
3,0,0,19.54549,10000,0,-1.549301,10000,0,1,1,0
7,1,0,21.01854,11.07562,10000,-3.774694,-3.122025,10000,0,1,2
3,3,2,10.59375,52.69198,42.64097,-2.90715,-2.56195,-3.22019,2,0,4
3,0,2,54.39389,10000,85.58893,-1.854654,10000,-3.42939,4,2,1
1,2,2,52.32976,31.96306,73.2062,-3.007645,-2.28444,-2.893244,1,4,1
1,0,3,41.74606,0,21.16105,-2.700697,0,-2.151686,1,1,1
3,0,2,20.91575,0,52.65983,-3.618193,0,-3.134718,1,1,4
1,4,0,11.44178,32.33438,0,-1.337454,-3.861576,0,4,1,4
2,1,2,22.70684,82.95792,32.35635,-2.387589,-3.304268,-3.910725,4,4,4
1,1,5,83.96834,31.49626,10.61343,-3.00264,-2.456768,-2.861046,4,4,1
3,0,4,43.25092,0,22.90883,-3.26352,0,-2.488054,1,4,4
0,5,3,10000,19.7482,30.82054,10000,-1.870575,-1.487684,4,1,1
2,2,0,21.39898,41.73034,0,-1.440859,-2.590555,0,1,4,4
0,3,2,10000,51.88268,9.73018999999999,10000,-2.609188,-2.324614,4,1,1
1,0,6,41.0938,10000,10.94928,-2.269913,10000,-3.013144,1,4,0
3,2,0,30.81954,21.22751,10000,-3.339468,-3.64959,10000,0,1,2
2,3,0,21.14964,32.29277,0,-1.833569,-2.251244,0,2,0,1
0,3,0,10000,41.50981,0,10000,-2.672802,0,1,2,1
1,4,0,85.3321,22.1806,0,-3.209122,-1.975458,0,1,1,1
2,2,0,55.56324,44.67942,0,-1.415743,-1.073717,0,1,1,1
2,1,3,32.08978,84.49104,10.47054,-1.07315,-2.233194,-2.838562,1,1,4
1,2,3,10.62832,53.25737,21.99067,-1.000126,-1.813263,-2.028353,4,1,4
2,2,0,41.00011,30.38998,0,-1.145512,-2.483023,0,4,4,1
2,2,0,21.52524,53.40439,0,-2.116598,-1.527702,0,1,4,4
5,3,0,21.1846,10.65194,10000,-1.042898,-2.215082,10000,4,1,2
1,2,0,93.81087,10.1436,0,-3.613298,-2.504322,0,2,4,1
4,2,2,21.66211,10.26828,32.97737,-1.731579,-1.90853,-2.634296,1,2,4
0,4,1,10000,65.2126,32.6883,10000,-2.55531,-2.942514,4,1,1
3,1,2,11.77815,23.40805,74.40858,-1.054354,-2.025564,-2.69964,1,4,4
2,0,2,53.11185,0,9.47938000000002,-1.713627,0,-2.871555,4,1,4
1,1,0,63.95339,74.90326,0,-3.80148,-2.015928,0,4,4,1
2,0,0,10.10046,0,10000,-3.067453,0,10000,1,4,4
3,2,2,50.14111,9.68926999999999,20.39163,-1.49342,-1.592726,-2.986769,4,1,1
