0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,action
1.0,2.0,45.0,4.898587410340671e-16,-8.0,1.0,-3.1832284927368164,19.745052337646484,16.303287506103516,2.628359317779541,1.0,-20.239974975585938,12.897418022155762,6.3374176025390625,9.945338249206543,1.0,118.9111328125,-2.0,-15.291132926940918,1.8726238279215962e-15,1.0,-15.121478080749512,-13.089725494384766,-7.780411243438721,8.988066673278809,0.0,1.0,0.0,0.0,0.0,4
1.0,2.238037347793579,39.0200309753418,0.2884935140609741,-4.674659252166748,1.0,-11.591978073120117,20.759397506713867,9.816581726074219,6.535085201263428,1.0,12.339735984802246,15.557757377624512,13.875506401062012,-8.954093933105469,1.0,103.62000274658203,-2.0,-15.291132926940918,1.8726238279215962e-15,1.0,-19.60420036315918,-2.2484376430511475,-2.460359811782837,11.630424499511719,0.0,1.0,0.0,0.0,0.0,3
1.0,3.3635003566741943,32.77492141723633,1.4484502077102661,-7.290769577026367,1.0,-0.30167052149772644,23.733259201049805,11.734282493591309,1.1744086742401123,1.0,-17.374605178833008,9.250405311584473,4.4564900398254395,11.020881652832031,1.0,19.807828903198242,1.3574450016021729,2.7435057163238525,-16.2843074798584,1.0,88.32886505126953,-2.0,-15.291132926940918,1.8726238279215962e-15,0.0,1.0,0.0,0.0,0.0,4
1.0,5.2675981521606445,27.54819107055664,1.9309451580047607,-4.160444736480713,1.0,11.046629905700684,20.999427795410156,10.882006645202637,-4.544727325439453,1.0,-9.04011344909668,17.475061416625977,9.91576099395752,6.557272434234619,1.0,73.03773498535156,-2.0,-15.291132926940918,1.8726238279215962e-15,1.0,14.34377384185791,-13.72728443145752,-10.18874740600586,-12.995957374572754,0.0,1.0,0.0,0.0,0.0,3
1.0,9.643424034118652,23.132152557373047,5.547910213470459,-4.922219276428223,1.0,2.4894673824310303,19.515178680419922,11.885516166687012,-0.2337852418422699,1.0,19.7220516204834,13.190174102783203,7.400779724121094,-9.181561470031738,1.0,57.74660110473633,-2.0,-15.291132926940918,1.8726238279215962e-15,1.0,5.194685935974121,-26.981365203857422,-6.1910223960876465,-15.309367179870605,1.0,1.0,0.0,0.0,0.0,2
1.0,15.640514373779297,18.29851531982422,5.953273296356201,-5.1936140060424805,1.0,13.136752128601074,14.644259452819824,9.648131370544434,-6.945047855377197,1.0,23.624866485595703,2.1895575523376465,2.127589464187622,-11.599395751953125,1.0,42.4555778503418,-2.008223295211792,-15.290997505187988,-0.06441738456487656,1.0,2.082791566848755,-43.108558654785156,-0.8270378112792969,-16.493074417114258,1.0,1.0,0.0,0.0,0.0,2
1.0,20.5227108001709,12.058292388916016,4.502542018890381,-6.5920305252075195,1.0,19.130901336669922,4.586415767669678,3.9933650493621826,-11.197016716003418,1.0,28.202661514282227,-4.625107288360596,-11.615845680236816,-3.356729030609131,1.0,21.809955596923828,-9.34089183807373,-3.6609370708465576,-11.210269927978516,1.0,2.0032191276550293,-59.62194061279297,-0.012288106605410576,-16.513792037963867,1.0,1.0,0.0,0.0,0.0,3
1.0,23.587244033813477,2.6097652912139893,2.211214780807495,-11.095342636108398,1.0,18.348665237426758,-7.095966815948486,-3.0759634971618652,-11.482969284057617,1.0,21.963359832763672,-11.357622146606445,-4.016711711883545,-4.74389123916626,1.0,14.716416358947754,-18.610565185546875,-8.563507080078125,-8.107956886291504,1.0,2.000369071960449,-76.13573455810547,-0.001019581570290029,-16.513797760009766,1.0,1.0,0.0,0.0,1.0,3
1.0,21.249967575073242,-10.671710968017578,-5.580085277557373,-14.13776683807373,1.0,18.357643127441406,-15.546252250671387,-3.6092872619628906,-4.093930721282959,1.0,11.06709098815918,-16.264860153198242,-9.055764198303223,-7.701510906219482,1.0,6.33627462387085,-26.639480590820312,-6.69320821762085,-9.709458351135254,1.0,2.000047206878662,-92.6495361328125,-0.0001275154936593026,-16.513797760009766,1.0,0.0,0.0,0.0,1.0,3
1.0,2.0,45.0,4.898587410340671e-16,-8.0,1.0,-5.034298419952393,19.356027603149414,19.287063598632812,5.016361236572266,1.0,-19.86573600769043,13.466719627380371,9.939909934997559,14.66308307647705,1.0,123.55872344970703,-2.0,-16.721771240234375,2.0478264520722806e-15,1.0,-18.433372497558594,-7.759559631347656,-6.090878486633301,14.469305038452148,0.0,1.0,0.0,0.0,0.0,4
